SleepQuality,Steps,Alarm,TimeInBed,TimeAsleep,TimeBeforeSleep,SnoreTime
66.0,5720,1,24908.9,23912.6,166.1,1
87.0,3537,1,27389.4,27206.8,182.6,1
81.0,3373,1,26798.6,24118.8,178.7,1
94.0,1257,0,36479.3,30642.6,243.2,1
72.0,2938,1,24451.0,20620.3,1711.6,1
77.0,3245,1,26692.8,23044.8,178.0,1
67.0,5843,1,22640.8,17433.4,3094.2,1
64.0,2975,1,25157.8,24990.1,167.7,1
45.0,4143,1,20194.7,19319.6,134.6,1
72.0,3851,1,23640.6,23483.0,157.6,1
91.0,0,1,28491.6,27352.0,189.9,1
76.0,3624,1,24352.1,24189.8,162.3,1
79.0,3215,1,26167.1,24073.7,1221.1,1
75.0,1803,1,23607.6,20774.7,1180.4,1
44.0,719,0,14083.5,13989.6,93.9,1
67.0,1178,1,22310.2,20004.8,148.7,1
70.0,0,1,22374.0,20882.4,1491.6,1
73.0,3536,1,24477.2,22763.8,163.2,1
73.0,4804,1,25778.3,23286.4,171.9,1
96.0,8072,0,35955.9,34997.1,239.7,1
59.0,1371,1,21448.9,20018.9,1429.9,1
58.0,4106,1,23338.2,18126.0,1555.9,1
70.0,3649,1,22961.3,20435.6,153.1,1
64.0,3642,1,20033.5,19031.8,1001.7,1
68.0,2928,1,22814.3,22662.2,152.1,1
93.0,4885,1,35226.7,31351.7,234.8,1
90.0,9594,1,35471.9,31806.4,236.5,1
88.0,3038,1,29528.1,25098.9,196.9,1
62.0,3172,1,22267.5,19521.2,148.4,1
68.0,3499,1,23171.5,21472.3,154.5,1
75.0,3795,1,24594.5,23446.8,1147.7,1
83.0,4401,1,30275.2,25834.9,201.8,1
63.0,5512,1,26996.7,23577.1,180.0,1
81.0,7761,1,27719.0,25593.9,184.8,1
69.0,4467,1,25211.9,23531.1,168.1,1
69.0,4640,1,23637.7,21983.0,157.6,1
73.0,4065,1,25737.3,22219.9,171.6,1
78.0,2734,1,25113.1,20592.7,1674.2,1
72.0,864,1,25859.6,22670.2,1034.4,1
81.0,4097,1,25527.2,22549.0,170.2,1
67.0,3799,1,25292.3,20571.0,843.1,1
75.0,4094,1,23999.6,23359.6,160.0,1
63.0,5034,1,20743.2,20604.9,138.3,1
83.0,4369,0,28594.0,23733.0,190.6,1
96.0,3132,0,34774.7,33267.8,231.8,1
96.0,4763,0,34098.5,28983.7,227.3,1
67.0,3311,1,23993.8,19994.8,160.0,1
58.0,4147,1,19990.9,17058.9,133.3,1
69.0,4014,1,23068.7,22914.9,153.8,1
95.0,7954,0,38239.0,34160.2,254.9,1
83.0,9361,0,28016.1,22506.3,186.8,1
65.0,4972,1,22266.5,19000.7,1336.0,1
83.0,8630,1,28531.1,27104.5,190.2,1
77.0,3339,1,28239.4,26450.9,188.3,1
55.0,9482,1,17859.8,13871.1,1190.7,1
73.0,5683,1,30728.2,27143.3,2048.5,1
78.0,2494,0,26123.8,22466.5,174.2,1
95.0,3948,1,29931.6,28834.1,199.5,1
95.0,4803,1,30672.1,30467.7,204.5,1
98.0,12943,1,31526.6,28584.1,210.2,1
76.0,3698,1,29039.8,23909.4,193.6,1
79.0,5512,0,28810.2,25160.9,192.1,1
79.0,6165,0,30762.8,26045.9,205.1,1
66.0,8761,0,27334.2,24054.1,182.2,1
68.0,5224,0,26210.7,26036.0,174.7,1
75.0,2925,0,31086.7,27149.0,207.2,1
84.0,5063,0,32225.2,28465.6,214.8,1
96.0,970,0,31633.6,29419.3,210.9,1
47.0,4243,0,20084.3,18343.7,133.9,1
85.0,3717,0,29102.9,27841.8,194.0,1
78.0,0,1,25599.3,23124.7,170.7,1
17.0,0,1,4941.3,4842.5,98.8,1
76.0,0,1,26206.1,22711.9,174.7,1
69.0,0,1,22951.8,20350.6,153.0,1
28.0,0,1,9525.8,6985.6,63.5,1
69.0,0,1,22220.1,22071.9,148.1,1
73.0,0,1,24056.0,20367.4,160.4,1
16.0,0,1,4647.0,4554.1,92.9,1
88.0,0,1,28930.7,22951.7,192.9,1
80.0,0,1,27469.1,23257.2,183.1,1
96.0,843,0,32210.6,28560.1,214.7,1
80.0,13978,1,27903.9,27717.9,186.0,1
87.0,13413,1,31407.6,28580.9,209.4,1
86.0,10138,1,32213.2,26951.7,214.8,1
21.0,27,0,5786.7,5671.0,115.7,1
65.0,1083,1,25687.0,20463.9,171.2,1
78.0,4686,1,28876.2,24063.5,192.5,1
88.0,0,1,29203.8,26964.9,194.7,1
78.0,17378,0,28533.8,23968.4,190.2,1
64.0,13087,0,20876.9,16701.5,139.2,1
13.0,0,1,3648.1,3575.2,73.0,1
12.0,0,1,3447.8,3378.9,69.0,1
7.0,0,1,1900.0,1862.0,38.0,1
71.0,11587,0,24508.7,21486.0,163.4,1
76.0,2320,1,24899.8,22077.9,166.0,1
87.0,20339,0,29900.5,25315.8,199.3,1
66.0,11958,1,22909.2,19778.3,152.7,1
13.0,48,1,3672.3,3598.9,73.4,1
6.0,0,1,1743.5,1708.6,34.9,1
65.0,8756,0,20975.4,20206.3,139.8,1
59.0,1465,1,20860.5,19261.2,139.1,1
14.0,32,1,3966.9,3887.5,79.3,1
40.0,2669,0,13721.1,13035.0,91.5,1
75.0,6944,1,24529.1,24365.5,163.5,1
93.0,15484,1,30889.1,26461.7,205.9,1
82.0,12091,1,28885.4,28692.8,192.6,1
75.0,7730,1,26211.0,22279.4,174.7,1
93.0,10085,1,30477.6,29258.5,203.2,1
74.0,2066,0,26826.9,26648.0,178.8,1
73.0,3500,1,22792.8,22640.9,152.0,1
83.0,11374,1,27738.0,24224.5,184.9,1
77.0,5746,1,27575.4,23071.4,183.8,1
70.0,5591,1,23082.6,18773.9,153.9,1
80.0,3832,1,28112.8,22209.1,187.4,1
61.0,1505,0,23999.4,21039.4,160.0,1
61.0,6335,1,21629.0,18240.4,144.2,1
66.0,6392,1,22052.1,21096.5,147.0,1
74.0,3427,1,25188.9,22250.2,167.9,1
96.0,1805,0,31964.1,28128.4,213.1,1
61.0,3384,1,23682.8,21077.7,157.9,1
66.0,6070,1,23456.5,20954.5,156.4,1
60.0,4192,1,26481.3,22597.4,176.5,1
83.0,3824,1,28028.9,27842.0,186.9,1
31.0,4658,0,10956.0,10883.0,73.0,1
81.0,1018,0,27780.9,22502.5,185.2,1
72.0,2875,1,23825.7,20251.8,158.8,1
60.0,5983,1,22915.4,20318.3,152.8,1
80.0,5172,1,27739.0,27554.1,184.9,1
73.0,2415,1,25382.7,23605.9,169.2,1
79.0,4322,1,28404.3,24427.7,189.4,1
83.0,6773,1,26174.5,25040.2,174.5,1
79.0,7667,1,26540.3,22559.2,176.9,1
22.0,6478,1,6159.4,6036.3,123.2,1
84.0,0,0,30221.7,27703.2,201.5,1
35.0,3469,1,10807.4,7132.9,72.0,1
60.0,0,1,16735.9,16624.3,111.6,1
64.0,4070,1,20723.6,16371.6,138.2,0
72.0,6279,1,24590.6,24426.7,163.9,1
76.0,3970,1,27720.2,24948.2,184.8,1
14.0,8,1,4023.3,3942.8,80.5,1
65.0,4473,1,22744.0,20242.1,151.6,1
69.0,3250,1,23559.9,23402.8,157.1,1
94.0,5937,0,29874.7,28779.3,199.2,1
67.0,4835,1,26498.9,23230.7,176.7,1
73.0,2216,1,25415.4,22280.9,169.4,0
65.0,1608,1,21166.8,21025.7,141.1,1
64.0,3599,1,21715.1,17951.1,144.8,1
61.0,3855,1,22252.4,18098.6,148.3,1
72.0,5080,1,26087.9,22348.7,173.9,1
87.0,2095,1,29611.7,27144.1,197.4,1
73.0,5393,1,25862.1,21724.2,172.4,1
79.0,4292,1,27967.3,25077.3,186.4,1
85.0,4734,0,29007.3,23302.5,193.4,1
94.0,3562,0,27512.8,27329.4,183.4,1
90.0,3002,0,33095.5,28572.5,220.6,1
50.0,1451,1,16331.5,16222.7,108.9,1
77.0,5831,1,28034.2,23735.6,186.9,1
67.0,4435,1,22060.2,21913.2,147.1,1
81.0,6932,0,35940.1,30788.7,239.6,1
52.0,3745,1,17212.7,17098.0,114.8,1
15.0,3250,1,4159.9,4076.7,83.2,1
62.0,1325,1,20274.0,20138.8,135.2,1
74.0,5455,1,21685.4,21540.9,144.6,1
97.0,5336,0,36315.3,34015.4,242.1,1
94.0,1339,0,33253.8,29152.5,221.7,1
56.0,410,0,18545.3,16938.0,123.6,1
64.0,1519,0,22918.8,19710.2,152.8,1
73.0,1420,1,24925.7,21353.0,166.2,1
83.0,1711,0,29134.1,23792.8,194.2,1
84.0,1331,0,31796.5,29570.8,212.0,1
77.0,3990,0,28814.7,27566.1,192.1,1
54.0,1318,1,23214.8,20196.9,154.8,1
67.0,2162,0,44250.6,36580.5,295.0,1
57.0,823,0,22198.1,17684.5,148.0,1
60.0,3094,0,20946.6,15919.4,139.6,1
96.0,3876,1,30706.9,29376.3,204.7,1
68.0,1178,1,22019.9,20992.3,146.8,1
79.0,3471,1,27307.3,24667.6,182.0,1
100.0,3636,1,29593.5,29396.2,197.3,1
55.0,2750,1,17275.5,15260.0,115.2,1
54.0,1103,1,21447.7,19302.9,143.0,1
63.0,3605,1,22005.5,18924.7,146.7,1
